county,state,deaths,population,crude_rate
Autauga County, AL,34,920175,3.7
Baldwin County, AL,73,3104213,2.4
Barbour County, AL,14,499605,
Bibb County, AL,14,397480,
Blount County, AL,74,997776,7.4
Calhoun County, AL,45,2074478,2.2
Chambers County, AL,10,628932,
Cherokee County, AL,27,455087,5.9
Chilton County, AL,16,762939,
Choctaw County, AL,11,258321,
Clarke County, AL,25,472909,5.3
Coffee County, AL,20,857552,2.3
Colbert County, AL,33,980863,3.4
Conecuh County, AL,25,240060,10.4
Coosa County, AL,31,204784,15.1
Covington County, AL,19,675450,
Crenshaw County, AL,10,249207,
Cullman County, AL,96,1431088,6.7
Dale County, AL,14,891572,
Dallas County, AL,53,790398,6.7
DeKalb County, AL,31,1237877,2.5
Elmore County, AL,18,1354531,
Escambia County, AL,40,683449,5.9
Etowah County, AL,44,1864778,2.4
Fayette County, AL,19,316518,
Franklin County, AL,11,564069,
Henry County, AL,34,304556,11.2
Houston County, AL,35,1750954,2
Jackson County, AL,60,959194,6.3
Jefferson County, AL,758,11854635,6.4
Lauderdale County, AL,56,1632135,3.4
Lawrence County, AL,19,614698,
Lee County, AL,43,2418094,1.8
Limestone County, AL,38,1404371,2.7
Macon County, AL,20,391167,5.1
Madison County, AL,143,5712479,2.5
Marengo County, AL,24,382442,6.3
Marion County, AL,12,551156,
Marshall County, AL,89,1608450,5.5
Mobile County, AL,533,7321586,7.3
Monroe County, AL,46,417677,11
Montgomery County, AL,78,4070088,1.9
Morgan County, AL,93,2091395,4.4
Pike County, AL,18,569863,
Randolph County, AL,10,407079,
Russell County, AL,61,954636,6.4
St. Clair County, AL,15,1394254,
Shelby County, AL,36,3251987,1.1
Talladega County, AL,60,1464637,4.1
Tallapoosa County, AL,25,742735,3.4
Tuscaloosa County, AL,88,3331999,2.6
Walker County, AL,20,1220606,1.6
Washington County, AL,15,314819,
Winston County, AL,14,440476,
Anchorage Borough, AK,288,5086641,5.7
Bethel Census Area, AK,56,305095,18.4
Dillingham Census Area, AK,12,88068,
Fairbanks North Star Borough, AK,120,1674452,7.2
Juneau Borough, AK,28,565490,5
Kenai Peninsula Borough, AK,114,967925,11.8
Ketchikan Gateway Borough, AK,21,244924,8.6
Kodiak Island Borough, AK,12,245177,
Matanuska-Susitna Borough, AK,122,1460037,8.4
Nome Census Area, AK,45,170387,26.4
North Slope Borough, AK,24,156269,15.4
Northwest Arctic Borough, AK,23,134680,17.1
Sitka Borough, AK,18,160074,
Valdez-Cordova Census Area, AK,10,175788,
Wade Hampton Census Area, AK,48,134565,35.7
Wrangell-Petersburg Census Area, AK,10,94972,
Yukon-Koyukuk Census Area, AK,32,113665,28.2
Apache County, AZ,55,1264505,4.3
Cochise County, AZ,79,2262980,3.5
Coconino County, AZ,54,2329878,2.3
Gila County, AZ,24,945055,2.5
Graham County, AZ,12,637527,
La Paz County, AZ,15,362696,
Maricopa County, AZ,1818,65870582,2.8
Mohave County, AZ,117,3391727,3.4
Navajo County, AZ,47,1883444,2.5
Pima County, AZ,522,16943415,3.1
Pinal County, AZ,131,5426182,2.4
Santa Cruz County, AZ,10,791699,
Yavapai County, AZ,421,3598384,11.7
Yuma County, AZ,46,3330723,1.4
Arkansas County, AR,23,351010,6.6
Ashley County, AR,25,402862,6.2
Baxter County, AR,31,724840,4.3
Benton County, AR,51,3659138,1.4
Boone County, AR,37,648068,5.7
Carroll County, AR,18,481058,
Clark County, AR,12,414455,
Clay County, AR,12,293878,
Cleburne County, AR,13,453632,
Columbia County, AR,11,446094,
Conway County, AR,10,375143,
Craighead County, AR,92,1667844,5.5
Crawford County, AR,49,1060710,4.6
Crittenden County, AR,25,905065,2.8
Drew County, AR,11,334997,
Faulkner County, AR,34,1899379,1.8
Franklin County, AR,16,323323,
Fulton County, AR,14,217312,
Garland County, AR,51,1687076,3
Grant County, AR,14,313590,
Greene County, AR,20,735578,2.7
Hempstead County, AR,12,410121,
Hot Spring County, AR,19,578736,
Howard County, AR,12,249237,
Independence County, AR,25,643809,3.9
Jackson County, AR,14,322732,
Jefferson County, AR,36,1409099,2.6
Johnson County, AR,12,444983,
Lawrence County, AR,12,312039,
Little River County, AR,12,235443,
Logan County, AR,19,402345,
Lonoke County, AR,30,1143301,2.6
Madison County, AR,23,272192,8.4
Marion County, AR,20,295734,6.8
Miller County, AR,16,764781,
Mississippi County, AR,33,850025,3.9
Monroe County, AR,12,156575,
Ouachita County, AR,16,476074,
Perry County, AR,14,185861,
Phillips County, AR,18,409996,
Poinsett County, AR,22,445930,4.9
Polk County, AR,23,365732,6.3
Pope County, AR,34,1069122,3.2
Pulaski County, AR,167,6778689,2.5
Randolph County, AR,19,323312,
St. Francis County, AR,22,507857,4.3
Saline County, AR,52,1810684,2.9
Scott County, AR,16,197435,
Sebastian County, AR,37,2200562,1.7
Sevier County, AR,15,297507,
Stone County, AR,14,218294,
Union County, AR,58,766392,7.6
Washington County, AR,61,3468974,1.8
White County, AR,43,1328408,3.2
Yell County, AR,14,388316,
Alameda County, CA,1852,27090417,6.8
Amador County, CA,96,669014,14.3
Butte County, CA,361,3892579,9.3
Calaveras County, CA,121,796806,15.2
Colusa County, CA,30,370568,8.1
Contra Costa County, CA,854,18548935,4.6
Del Norte County, CA,57,502811,11.3
El Dorado County, CA,282,3143493,9
Fresno County, CA,282,16120467,1.7
Glenn County, CA,38,495202,7.7
Humboldt County, CA,258,2377828,10.9
Imperial County, CA,61,2940428,2.1
Inyo County, CA,35,330531,10.6
Kern County, CA,580,14188432,4.1
Kings County, CA,55,2614781,2.1
Lake County, CA,128,1133484,11.3
Lassen County, CA,45,607001,7.4
Los Angeles County, CA,5228,176708647,3
Madera County, CA,172,2569021,6.7
Marin County, CA,163,4515262,3.6
Mariposa County, CA,19,319895,
Mendocino County, CA,84,1573052,5.3
Merced County, CA,228,4414346,5.2
Modoc County, CA,20,169140,11.8
Mono County, CA,10,246367,
Monterey County, CA,536,7451192,7.2
Napa County, CA,109,2407401,4.5
Nevada County, CA,194,1743541,11.1
Orange County, CA,2173,53834021,4
Placer County, CA,341,5830690,5.8
Plumas County, CA,55,362078,15.2
Riverside County, CA,2024,36329642,5.6
Sacramento County, CA,1465,24854502,5.9
San Benito County, CA,14,998292,
San Bernardino County, CA,1651,35275776,4.7
San Diego County, CA,2569,54667285,4.7
San Francisco County, CA,78,14405473,0.5
San Joaquin County, CA,346,11887174,2.9
San Luis Obispo County, CA,313,4758832,6.6
San Mateo County, CA,151,12910573,1.2
Santa Barbara County, CA,210,7531637,2.8
Santa Clara County, CA,861,31645486,2.7
Santa Cruz County, CA,218,4681546,4.7
Shasta County, CA,342,3144304,10.9
Siskiyou County, CA,123,796585,15.4
Solano County, CA,399,7439222,5.4
Sonoma County, CA,474,8591332,5.5
Stanislaus County, CA,486,9032016,5.4
Sutter County, CA,106,1620646,6.5
Tehama County, CA,65,1096773,5.9
Trinity County, CA,52,240008,21.7
Tulare County, CA,165,7559788,2.2
Tuolumne County, CA,79,994092,7.9
Ventura County, CA,753,14515828,5.2
Yolo County, CA,89,3472974,2.6
Yuba County, CA,67,1234354,5.4
Adams County, CO,189,7613889,2.5
Arapahoe County, CO,182,9974517,1.8
Archuleta County, CO,13,209027,
Boulder County, CO,382,5339650,7.2
Broomfield County, CO,28,767952,3.6
Chaffee County, CO,32,315042,10.2
Delta County, CO,12,534176,
Denver County, CO,361,10706660,3.4
Douglas County, CO,250,4667964,5.4
Eagle County, CO,12,878401,
El Paso County, CO,455,10734520,4.2
Fremont County, CO,14,841518,
Garfield County, CO,38,943380,4
Gilpin County, CO,10,93087,
Grand County, CO,10,250905,
Jefferson County, CO,743,9650818,7.7
Kit Carson County, CO,10,145707,
Lake County, CO,13,134602,
La Plata County, CO,87,890876,9.8
Larimer County, CO,379,5223858,7.3
Logan County, CO,17,394442,
Mesa County, CO,76,2457048,3.1
Moffat County, CO,10,238156,
Montezuma County, CO,88,450126,19.6
Montrose County, CO,17,692321,
Morgan County, CO,29,501562,5.8
Park County, CO,11,287516,
Pitkin County, CO,10,292737,
Prowers County, CO,12,235000,
Pueblo County, CO,73,2772834,2.6
Summit County, CO,12,482685,
Teller County, CO,40,403760,9.9
Weld County, CO,245,4259625,5.8
Fairfield County, CT,82,16395172,0.5
Hartford County, CT,89,15881980,0.6
Litchfield County, CT,38,3362625,1.1
Middlesex County, CT,15,2922498,
New Haven County, CT,89,15289748,0.6
New London County, CT,44,4846557,0.9
Tolland County, CT,26,2656761,1
Windham County, CT,21,2072959,1
Kent County, DE,55,2738104,2
New Castle County, DE,120,9540923,1.3
Sussex County, DE,81,3363531,2.4
District of Columbia, DC,121,10821657,1.1
Alachua County, FL,49,4325924,1.1
Baker County, FL,11,458731,
Bay County, FL,105,2970991,3.5
Brevard County, FL,145,9532217,1.5
Broward County, FL,188,31524641,0.6
Charlotte County, FL,84,2849218,2.9
Citrus County, FL,109,2415510,4.5
Clay County, FL,73,3189466,2.3
Collier County, FL,53,5580120,0.9
Columbia County, FL,41,1153489,3.6
DeSoto County, FL,53,612498,8.7
Dixie County, FL,14,278388,
Duval County, FL,321,15247688,2.1
Escambia County, FL,315,5410648,5.8
Flagler County, FL,91,1489945,6.1
Gadsden County, FL,54,822751,6.6
Glades County, FL,20,222382,9
Gulf County, FL,12,276912,
Hardee County, FL,14,489870,
Hendry County, FL,37,681184,5.4
Hernando County, FL,80,2890985,2.8
Highlands County, FL,69,1719194,4
Hillsborough County, FL,1823,21271210,8.6
Holmes County, FL,22,350848,6.3
Indian River County, FL,25,2374287,1.1
Jackson County, FL,45,865851,5.2
Jefferson County, FL,10,252529,
Lake County, FL,128,4979823,2.6
Lee County, FL,653,10458915,6.2
Leon County, FL,205,4779396,4.3
Levy County, FL,26,693192,3.8
Liberty County, FL,12,142000,
Madison County, FL,18,340252,
Manatee County, FL,503,5651951,8.9
Marion County, FL,168,5595593,3
Martin County, FL,28,2571233,1.1
Miami-Dade County, FL,196,44207994,0.4
Monroe County, FL,68,1373161,5
Nassau County, FL,26,1241544,2.1
Okaloosa County, FL,295,3306770,8.9
Okeechobee County, FL,12,696802,
Orange County, FL,490,19732211,2.5
Osceola County, FL,95,4483109,2.1
Palm Beach County, FL,212,23170344,0.9
Pasco County, FL,178,7806029,2.3
Pinellas County, FL,243,16679366,1.5
Polk County, FL,178,10293896,1.7
Putnam County, FL,116,1311372,8.8
St. Johns County, FL,195,3151646,6.2
St. Lucie County, FL,49,4567306,1.1
Santa Rosa County, FL,185,2605614,7.1
Sarasota County, FL,569,6651061,8.6
Seminole County, FL,423,7397962,5.7
Sumter County, FL,30,1508521,2
Suwannee County, FL,30,718393,4.2
Taylor County, FL,34,383734,8.9
Volusia County, FL,911,8747944,10.4
Wakulla County, FL,37,505468,7.3
Walton County, FL,113,940028,12
Washington County, FL,32,418948,7.6
Appling County, GA,22,323813,6.8
Barrow County, GA,18,1123215,
Bartow County, GA,44,1674857,2.6
Ben Hill County, GA,18,313907,
Berrien County, GA,22,325174,6.8
Bibb County, GA,45,2779360,1.6
Bleckley County, GA,22,224362,9.8
Bryan County, GA,23,519565,4.4
Bulloch County, GA,23,1180757,1.9
Butts County, GA,10,403080,
Camden County, GA,24,871051,2.8
Carroll County, GA,38,1883260,2
Catoosa County, GA,15,1099964,
Chatham County, GA,224,4621971,4.8
Chattooga County, GA,12,460224,
Cherokee County, GA,79,3513923,2.2
Clarke County, GA,31,2039626,1.5
Clayton County, GA,98,4638191,2.1
Cobb County, GA,158,12100061,1.3
Coffee County, GA,24,736206,3.3
Colquitt County, GA,70,796259,8.8
Columbia County, GA,25,2088535,1.2
Cook County, GA,16,299581,
Coweta County, GA,26,2094978,1.2
Dawson County, GA,16,368661,
Decatur County, GA,29,498540,5.8
DeKalb County, GA,244,12410050,2
Dougherty County, GA,80,1696428,4.7
Douglas County, GA,23,2164315,1.1
Early County, GA,10,204213,
Effingham County, GA,30,869841,3.4
Emanuel County, GA,13,399892,
Fannin County, GA,11,406783,
Fayette County, GA,26,1851454,1.4
Floyd County, GA,30,1702096,1.8
Forsyth County, GA,31,2827040,1.1
Franklin County, GA,10,389602,
Fulton County, GA,833,16070772,5.2
Gilmer County, GA,15,486913,
Glynn County, GA,26,1368555,1.9
Gordon County, GA,20,935264,2.1
Grady County, GA,24,441069,5.4
Gwinnett County, GA,536,13573750,3.9
Habersham County, GA,19,734242,
Hall County, GA,34,3052940,1.1
Haralson County, GA,19,501682,
Harris County, GA,10,529834,
Henry County, GA,59,3232764,1.8
Houston County, GA,29,2381718,1.2
Jackson County, GA,19,979698,
Jeff Davis County, GA,18,254401,
Jones County, GA,10,488824,
Laurens County, GA,14,846811,
Lee County, GA,16,490896,
Liberty County, GA,59,1141061,5.2
Lowndes County, GA,81,1863329,4.3
McDuffie County, GA,10,386630,
McIntosh County, GA,11,234262,
Mitchell County, GA,22,421532,5.2
Montgomery County, GA,12,160064,
Murray County, GA,13,702239,
Muscogee County, GA,49,3427884,1.4
Newton County, GA,32,1606242,2
Oconee County, GA,10,554634,
Paulding County, GA,45,2229134,2
Pickens County, GA,14,499884,
Pierce County, GA,13,317825,
Polk County, GA,21,725774,2.9
Putnam County, GA,10,367889,
Rabun County, GA,19,287213,
Randolph County, GA,10,136692,
Richmond County, GA,40,3587969,1.1
Rockdale County, GA,16,1453805,
Screven County, GA,21,265255,7.9
Spalding County, GA,13,1118255,
Stephens County, GA,11,461709,
Thomas County, GA,50,791371,6.3
Tift County, GA,39,712619,5.5
Toombs County, GA,16,482292,
Troup County, GA,23,1165887,2
Upson County, GA,13,488822,
Walker County, GA,16,1188368,
Walton County, GA,29,1389315,2.1
Ware County, GA,27,641535,4.2
Wayne County, GA,10,520513,
White County, GA,12,454801,
Whitfield County, GA,12,1736936,
Worth County, GA,16,389291,
Hawaii County, HI,37,3148744,1.2
Honolulu County, HI,70,16837647,0.4
Kauai County, HI,13,1168599,
Maui County, HI,17,2663429,
Ada County, ID,484,6675050,7.3
Bannock County, ID,33,1439919,2.3
Bear Lake County, ID,12,109702,
Benewah County, ID,28,164153,17.1
Bingham County, ID,52,790385,6.6
Blaine County, ID,33,374954,8.8
Bonner County, ID,50,715985,7
Bonneville County, ID,102,1752758,5.8
Canyon County, ID,260,3134853,8.3
Cassia County, ID,14,400790,
Clearwater County, ID,22,156370,14.1
Custer County, ID,15,75995,
Elmore County, ID,24,480911,5
Franklin County, ID,15,221934,
Fremont County, ID,13,228142,
Gem County, ID,12,293896,
Gooding County, ID,17,267382,
Idaho County, ID,25,285677,8.8
Jefferson County, ID,27,424462,6.4
Jerome County, ID,23,374320,6.1
Kootenai County, ID,244,2357312,10.4
Latah County, ID,58,661094,8.8
Lemhi County, ID,17,139805,
Lewis County, ID,10,67682,
Madison County, ID,16,616836,
Minidoka County, ID,18,356698,
Nez Perce County, ID,108,696337,15.5
Owyhee County, ID,22,201200,10.9
Payette County, ID,35,395360,8.9
Shoshone County, ID,13,232641,
Teton County, ID,12,156873,
Twin Falls County, ID,86,1321107,6.5
Adams County, IL,40,1210701,3.3
Alexander County, IL,10,152188,
Boone County, IL,10,905355,
Champaign County, IL,64,3514119,1.8
Christian County, IL,19,626172,
Clark County, IL,17,297288,
Clay County, IL,10,251049,
Clinton County, IL,10,666470,
Coles County, IL,16,958060,
Cook County, IL,647,94421063,0.7
DeKalb County, IL,16,1796735,
DuPage County, IL,285,16501706,1.7
Edgar County, IL,27,336894,8
Franklin County, IL,18,707696,
Henry County, IL,13,906168,
Jackson County, IL,11,1074201,
Jasper County, IL,13,176786,
Jefferson County, IL,24,706152,3.4
Jersey County, IL,12,404049,
Kane County, IL,23,8729278,0.3
Kankakee County, IL,31,1968953,1.6
Kendall County, IL,13,1701845,
Knox County, IL,26,960314,2.7
Lake County, IL,146,12343635,1.2
LaSalle County, IL,23,2023791,1.1
Lee County, IL,11,640512,
Livingston County, IL,14,698105,
Logan County, IL,13,548092,
McDonough County, IL,14,585732,
McHenry County, IL,42,5297566,0.8
McLean County, IL,19,2955754,
Macon County, IL,29,1995832,1.5
Macoupin County, IL,38,861313,4.4
Madison County, IL,263,4772333,5.5
Marion County, IL,39,717006,5.4
Marshall County, IL,17,227864,
Massac County, IL,10,274046,
Monroe County, IL,16,567384,
Montgomery County, IL,19,541011,
Morgan County, IL,41,643229,6.4
Ogle County, IL,17,943942,
Peoria County, IL,35,3327111,1.1
Randolph County, IL,16,601566,
Rock Island County, IL,19,2654996,
St. Clair County, IL,154,4738576,3.2
Sangamon County, IL,163,3502793,4.7
Stephenson County, IL,35,858341,4.1
Tazewell County, IL,42,2385555,1.8
Vermilion County, IL,45,1473743,3.1
Wayne County, IL,14,302624,
White County, IL,12,267183,
Whiteside County, IL,32,1057862,3
Will County, IL,127,11333216,1.1
Williamson County, IL,12,1166549,
Winnebago County, IL,69,5178307,1.3
Woodford County, IL,12,677558,
Allen County, IN,51,6299010,0.8
Bartholomew County, IN,22,1363495,1.6
Blackford County, IN,15,235338,
Boone County, IN,20,977387,2
Cass County, IN,10,708210,
Clark County, IN,25,1907499,1.3
Crawford County, IN,13,194028,
Daviess County, IN,16,560343,
Dearborn County, IN,15,875740,
De Kalb County, IN,11,749919,
Delaware County, IN,23,2123574,1.1
Elkhart County, IN,32,3493929,0.9
Fayette County, IN,11,440409,
Floyd County, IN,24,1323386,1.8
Franklin County, IN,19,411015,
Fulton County, IN,13,369741,
Gibson County, IN,20,598235,3.3
Grant County, IN,16,1269568,
Greene County, IN,24,593804,4
Hamilton County, IN,41,4535074,0.9
Hancock County, IN,24,1179722,2
Hendricks County, IN,54,2428363,2.2
Henry County, IN,11,876831,
Howard County, IN,28,1505545,1.9
Jennings County, IN,17,506005,
Johnson County, IN,47,2398986,2
Knox County, IN,11,692546,
Lake County, IN,142,8817540,1.6
La Porte County, IN,36,1988178,1.8
Lawrence County, IN,13,828087,
Madison County, IN,33,2364390,1.4
Marion County, IN,1322,16088494,8.2
Morgan County, IN,27,1231242,2.2
Orange County, IN,12,353556,
Porter County, IN,27,2862610,0.9
Putnam County, IN,14,673132,
Rush County, IN,12,316051,
St. Joseph County, IN,74,4792803,1.5
Scott County, IN,35,426998,8.2
Tippecanoe County, IN,21,3001245,0.7
Vanderburgh County, IN,40,3194052,1.3
Vigo County, IN,51,1922591,2.7
Warrick County, IN,15,1035227,
Washington County, IN,21,501343,4.2
Wayne County, IN,41,1246074,3.3
Adair County, IA,14,139887,
Allamakee County, IA,14,257107,
Appanoose County, IA,22,235863,9.3
Audubon County, IA,14,112199,
Benton County, IA,24,465423,5.2
Black Hawk County, IA,95,2331934,4.1
Boone County, IA,30,474393,6.3
Bremer County, IA,24,433262,5.5
Buchanan County, IA,20,377649,5.3
Buena Vista County, IA,11,364298,
Butler County, IA,16,269544,
Calhoun County, IA,10,183234,
Carroll County, IA,19,375958,
Cass County, IA,15,251501,
Cedar County, IA,13,329810,
Cerro Gordo County, IA,59,801813,7.4
Cherokee County, IA,12,220474,
Chickasaw County, IA,19,226407,
Clay County, IA,13,302490,
Clayton County, IA,14,326987,
Clinton County, IA,64,884276,7.2
Crawford County, IA,15,306610,
Dallas County, IA,51,1085343,4.7
Davis County, IA,15,156063,
Decatur County, IA,12,152242,
Delaware County, IA,18,321815,
Des Moines County, IA,69,732140,9.4
Dickinson County, IA,13,300513,
Dubuque County, IA,71,1665832,4.3
Emmet County, IA,11,187241,
Fayette County, IA,23,379819,6.1
Floyd County, IA,19,295029,
Franklin County, IA,19,191130,
Greene County, IA,15,172797,
Guthrie County, IA,22,198774,11.1
Hardin County, IA,20,321720,6.2
Harrison County, IA,14,270321,
Henry County, IA,10,364006,
Howard County, IA,13,173914,
Humboldt County, IA,21,179057,11.7
Iowa County, IA,19,291210,
Jackson County, IA,31,358548,8.6
Jasper County, IA,36,667544,5.4
Jefferson County, IA,27,300303,9
Johnson County, IA,77,2281399,3.4
Jones County, IA,19,369348,
Keokuk County, IA,15,193222,
Lee County, IA,49,652174,7.5
Linn County, IA,173,3710766,4.7
Lucas County, IA,14,163960,
Madison County, IA,16,271982,
Mahaska County, IA,21,402565,5.2
Marion County, IA,36,593846,6.1
Marshall County, IA,48,721399,6.7
Mills County, IA,15,267463,
Monona County, IA,13,169892,
Monroe County, IA,13,143389,
Montgomery County, IA,12,197012,
Muscatine County, IA,41,762029,5.4
O'Brien County, IA,11,260545,
Page County, IA,22,290587,7.6
Plymouth County, IA,28,448369,6.2
Pocahontas County, IA,12,138390,
Polk County, IA,456,7518417,6.1
Pottawattamie County, IA,94,1639018,5.7
Poweshiek County, IA,14,339675,
Ringgold County, IA,11,93962,
Sac County, IA,15,191094,
Scott County, IA,190,2941028,6.5
Shelby County, IA,12,223717,
Sioux County, IA,19,599078,
Story County, IA,57,1567534,3.6
Tama County, IA,21,321428,6.5
Union County, IA,25,222520,11.2
Van Buren County, IA,18,136731,
Wapello County, IA,54,640416,8.4
Warren County, IA,54,805502,6.7
Washington County, IA,20,387742,5.2
Webster County, IA,44,691351,6.4
Winnebago County, IA,10,199021,
Winneshiek County, IA,18,378414,
Woodbury County, IA,85,1838559,4.6
Wright County, IA,16,242528,
Butler County, KS,10,1146149,
Cowley County, KS,16,651055,
Crawford County, KS,23,699530,3.3
Douglas County, KS,90,1955779,4.6
Ellis County, KS,17,506633,
Franklin County, KS,21,459512,4.6
Jefferson County, KS,13,339804,
Johnson County, KS,170,9392000,1.8
Leavenworth County, KS,22,1336054,1.6
Lyon County, KS,33,627412,5.3
Miami County, KS,11,561427,
Montgomery County, KS,19,630654,
Reno County, KS,36,1154157,3.1
Riley County, KS,12,1235735,
Sedgwick County, KS,314,8688498,3.6
Shawnee County, KS,238,3143521,7.6
Sumner County, KS,22,441013,5
Wyandotte County, KS,85,2840780,3
Anderson County, KY,14,372440,
Barren County, KY,29,739097,3.9
Bath County, KY,21,209168,10
Bell County, KY,31,518194,6
Boone County, KY,23,1981191,1.2
Bourbon County, KY,13,356649,
Boyd County, KY,35,886859,3.9
Boyle County, KY,41,510405,8
Breathitt County, KY,14,260273,
Bullitt County, KY,31,1274398,2.4
Campbell County, KY,18,1612720,
Carter County, KY,21,493532,4.3
Casey County, KY,18,284570,
Christian County, KY,19,1313548,
Clay County, KY,38,405720,9.4
Clinton County, KY,10,180316,
Daviess County, KY,24,1712164,1.4
Elliott County, KY,13,130643,
Estill County, KY,16,266227,
Fayette County, KY,260,5165331,5
Fleming County, KY,11,257079,
Floyd County, KY,64,721488,8.9
Franklin County, KY,27,881723,3.1
Grant County, KY,27,433556,6.2
Graves County, KY,12,667572,
Grayson County, KY,16,455322,
Green County, KY,12,204145,
Greenup County, KY,31,660200,4.7
Hardin County, KY,72,1808573,4
Harlan County, KY,55,540774,10.2
Harrison County, KY,16,332306,
Hart County, KY,13,324872,
Hopkins County, KY,50,839003,6
Jackson County, KY,12,242710,
Jefferson County, KY,157,13093019,1.2
Jessamine County, KY,12,824658,
Johnson County, KY,13,419460,
Kenton County, KY,58,2834789,2
Knott County, KY,12,300163,
Knox County, KY,41,569867,7.2
Laurel County, KY,44,1029719,4.3
Lawrence County, KY,15,283596,
Lee County, KY,27,138529,19.5
Leslie County, KY,14,207822,
Letcher County, KY,32,438248,7.3
Lewis County, KY,11,249507,
Lincoln County, KY,20,437788,4.6
Logan County, KY,17,481024,
McCracken County, KY,22,1172001,1.9
McCreary County, KY,22,319396,6.9
Madison County, KY,34,1443973,2.4
Marion County, KY,15,346979,
Martin County, KY,13,230568,
Menifee County, KY,10,115969,
Mercer County, KY,17,381026,
Monroe County, KY,12,200833,
Montgomery County, KY,22,456178,4.8
Nelson County, KY,26,751720,3.5
Ohio County, KY,23,426082,5.4
Owsley County, KY,13,85077,
Pendleton County, KY,13,264020,
Perry County, KY,25,515667,4.8
Pike County, KY,64,1176382,5.4
Powell County, KY,13,230275,
Pulaski County, KY,67,1096979,6.1
Rockcastle County, KY,12,303566,
Rowan County, KY,38,413696,9.2
Russell County, KY,18,309117,
Scott County, KY,42,778558,5.4
Shelby County, KY,17,717036,
Simpson County, KY,13,309133,
Taylor County, KY,11,434107,
Union County, KY,20,273734,7.3
Warren County, KY,22,1941534,1.1
Washington County, KY,17,207451,
Wayne County, KY,10,368447,
Webster County, KY,20,247124,8.1
Whitley County, KY,26,647042,4
Wolfe County, KY,10,129327,
Woodford County, KY,13,439486,
Acadia Parish, LA,68,1092902,6.2
Allen Parish, LA,17,460161,
Ascension Parish, LA,89,1778504,5
Assumption Parish, LA,10,418364,
Avoyelles Parish, LA,12,747341,
Beauregard Parish, LA,12,625587,
Bossier Parish, LA,39,2025499,1.9
Caddo Parish, LA,102,4536313,2.2
Calcasieu Parish, LA,116,3416169,3.4
Catahoula Parish, LA,10,187949,
Claiborne Parish, LA,21,303035,6.9
Concordia Parish, LA,20,365530,5.5
De Soto Parish, LA,20,474098,4.2
East Baton Rouge Parish, LA,62,7737537,0.8
Evangeline Parish, LA,74,618749,12
Iberia Parish, LA,16,1319899,
Jefferson Parish, LA,114,7952106,1.4
Jefferson Davis Parish, LA,19,564919,
Lafayette Parish, LA,49,3841806,1.3
Lafourche Parish, LA,17,1700887,
LaSalle Parish, LA,18,263019,
Lincoln Parish, LA,13,816048,
Livingston Parish, LA,30,2117010,1.4
Madison Parish, LA,18,224891,
Morehouse Parish, LA,24,515981,4.7
